skill,sub_skill,level,prompt_text,options,correct_answer,explanation
WRITING,COHERENCE,BEGINNER,"Choose the best word for the blank: 'I was very tired, ___ I went to bed early.'","{""A"": ""but"", ""B"": ""or"", ""C"": ""so"", ""D"": ""because""}","""C""","So' shows a result: being tired is the reason, going to bed early is the result. 'But' would wrongly suggest a contrast."
WRITING,COHERENCE,BEGINNER,"Choose the best word for the blank: 'Mia likes tea, ___ she does not like coffee.'","{""A"": ""but"", ""B"": ""so"", ""C"": ""or"", ""D"": ""because""}","""A""",But' joins two contrasting ideas: liking one drink and not liking the other. 'So' and 'because' would wrongly show cause and result.
WRITING,COHERENCE,BEGINNER,"Choose the best word for the blank: '___, wash your hands. Then, dry them with a towel.'","{""A"": ""Finally"", ""B"": ""But"", ""C"": ""Because"", ""D"": ""First""}","""D""","First' introduces the opening step, and 'Then' follows it. 'Finally' would wrongly mark the first step as the last one."
WRITING,COHERENCE,BEGINNER,Read the sentence: 'Ali got a new puppy last week.' Which sentence best comes next?,"{""A"": ""The moon is far away."", ""B"": ""He named the puppy Coco."", ""C"": ""Bananas are yellow."", ""D"": ""Winter is very cold.""}","""B""","The next sentence should continue the same topic; naming the puppy follows naturally, while the other options jump to unrelated topics."
WRITING,COHERENCE,BEGINNER,Put these sentences in the best order: 1. He ate the sandwich. 2. Tom made a sandwich. 3. Then he washed his plate. Which order makes a good story?,"{""A"": ""2, 1, 3"", ""B"": ""1, 3, 2"", ""C"": ""3, 2, 1"", ""D"": ""1, 2, 3""}","""A""","A person first makes the sandwich (2), then eats it (1), and washes the plate at the end (3). The other orders break this natural sequence."
WRITING,COHERENCE,BEGINNER,Read the paragraph: 'My school has a big playground. The classrooms are bright. The teachers are friendly. My cat sleeps all day.' Which sentence does NOT belong?,"{""A"": ""My school has a big playground."", ""B"": ""The classrooms are bright."", ""C"": ""My cat sleeps all day."", ""D"": ""The teachers are friendly.""}","""C""","The paragraph is about the school; the sentence about the cat is on a different topic, so it breaks the flow."
WRITING,COHERENCE,BEGINNER,Choose the best word for the blank: 'Take your umbrella ___ it is raining.',"{""A"": ""but"", ""B"": ""because"", ""C"": ""or"", ""D"": ""so""}","""B""",Because' gives the reason for taking the umbrella: the rain. 'So' would only fit if the sentence order were reversed.
WRITING,COHERENCE,BEGINNER,Choose the best word for the blank: 'Rani baked a cake. ___ was chocolate with cream.',"{""A"": ""He"", ""B"": ""They"", ""C"": ""She"", ""D"": ""It""}","""D""","It' refers back to the cake, so we do not repeat the word 'cake'. 'She' would wrongly point to Rani, not the cake."
WRITING,COHERENCE,BEGINNER,Read the sentence: 'We went to the beach on Sunday.' Which sentence best comes next?,"{""A"": ""We built a big sandcastle."", ""B"": ""My pencil is broken."", ""C"": ""Elephants live in Africa."", ""D"": ""The shop sells shoes.""}","""A""",Building a sandcastle continues the beach story; the other sentences have nothing to do with the beach trip.
WRITING,COHERENCE,BEGINNER,"Choose the best word for the blank: 'First, put on your shoes. ___, tie the laces.'","{""A"": ""Because"", ""B"": ""Or"", ""C"": ""Next"", ""D"": ""But""}","""C""",Next' shows the second step after 'First'. 'Because' and 'but' do not show the order of steps.
WRITING,COHERENCE,BEGINNER,Read the paragraph: 'Boil some water. Put a tea bag in the cup. Pour in the hot water. Football is fun to watch.' Which sentence does NOT belong?,"{""A"": ""Boil some water."", ""B"": ""Put a tea bag in the cup."", ""C"": ""Pour in the hot water."", ""D"": ""Football is fun to watch.""}","""D""",The paragraph gives steps for making tea; the sentence about football is a different topic and breaks the instructions.
WRITING,COHERENCE,BEGINNER,"Put these sentences in the best order: 1. Finally, she drank the juice. 2. First, Nina took three oranges. 3. Then, she squeezed them. Which order makes a good story?","{""A"": ""1, 2, 3"", ""B"": ""2, 3, 1"", ""C"": ""3, 1, 2"", ""D"": ""2, 1, 3""}","""B""","The words 'First', 'Then', and 'Finally' show the order: take the oranges (2), squeeze them (3), drink the juice (1)."
WRITING,COHERENCE,BEGINNER,Choose the best word for the blank: 'You can have tea ___ coffee — choose one.',"{""A"": ""and"", ""B"": ""so"", ""C"": ""or"", ""D"": ""because""}","""C""","Or' offers a choice between two things, which matches 'choose one'. 'And' would wrongly mean both drinks together."
WRITING,COHERENCE,BEGINNER,Read the paragraph: '___. He waters them every day. He gives them plant food. Now his roses are big and red.' Which is the best FIRST sentence?,"{""A"": ""Sunil takes good care of his roses."", ""B"": ""Sunil hates gardens."", ""C"": ""Roses are expensive to buy."", ""D"": ""Sunil plays cricket every day.""}","""A""","The paragraph describes how Sunil cares for his roses, so the opening sentence should introduce that idea. The other options do not match what follows."
WRITING,COHERENCE,BEGINNER,Choose the best word for the blank: 'Ben and Jay are brothers. ___ walk to school together.',"{""A"": ""He"", ""B"": ""It"", ""C"": ""She"", ""D"": ""They""}","""D""","They' refers to two people, Ben and Jay. 'He' or 'she' would point to only one person."
WRITING,COHERENCE,BEGINNER,Read the sentence: 'Mother put the cookies in the oven.' Which sentence best comes next?,"{""A"": ""The bus was late again."", ""B"": ""Soon the kitchen smelled sweet."", ""C"": ""Fish live in water."", ""D"": ""My shoes are blue.""}","""B""",The sweet smell follows naturally from baking cookies; the other sentences change to unrelated topics.
WRITING,COHERENCE,BEGINNER,"Choose the best word for the blank: 'We waited a long time for the bus. ___, it arrived.'","{""A"": ""Because"", ""B"": ""But"", ""C"": ""Finally"", ""D"": ""Or""}","""C""",Finally' shows that something happened at the end of a long wait. 'Because' and 'or' do not fit the meaning.
WRITING,COHERENCE,BEGINNER,Read the paragraph: 'Ana had a birthday party. Her friends brought gifts. They ate cake and played games. The bank opens at nine.' Which sentence does NOT belong?,"{""A"": ""The bank opens at nine."", ""B"": ""Ana had a birthday party."", ""C"": ""Her friends brought gifts."", ""D"": ""They ate cake and played games.""}","""A""",The paragraph is about Ana's party; the sentence about the bank is about a different topic entirely.
WRITING,COHERENCE,BEGINNER,Choose the best word for the blank: 'Wash the apple ___ you eat it.',"{""A"": ""so"", ""B"": ""before"", ""C"": ""because"", ""D"": ""and""}","""B""","Before' shows the right order: washing comes first, eating comes after. 'So' and 'because' would wrongly make it a reason."
WRITING,COHERENCE,BEGINNER,"Put these sentences in the best order: 1. Then he brushed his teeth. 2. Finally, he went to school. 3. Raju woke up at seven. Which order makes a good story?","{""A"": ""1, 2, 3"", ""B"": ""2, 3, 1"", ""C"": ""1, 3, 2"", ""D"": ""3, 1, 2""}","""D""","The story starts with waking up (3), then brushing teeth (1), and 'Finally' going to school (2). The time words show this order."
WRITING,COHERENCE,BEGINNER,"Choose the best word for the blank: 'It started to rain, ___ we went inside.'","{""A"": ""so"", ""B"": ""or"", ""C"": ""but"", ""D"": ""because""}","""A""",So' shows the result: the rain made us go inside. 'Because' would only fit if the two parts were in the opposite order.
WRITING,COHERENCE,BEGINNER,Read the sentence: 'Dev planted a small seed in the garden.' Which sentence best comes next?,"{""A"": ""The train was full."", ""B"": ""His shirt is red."", ""C"": ""Every day he watered it."", ""D"": ""Lions eat meat.""}","""C""","Watering the seed continues the planting story, and 'it' connects back to the seed. The other options are unrelated."
WRITING,COHERENCE,BEGINNER,Choose the best word for the blank: 'This is my grandmother. ___ tells the best stories.',"{""A"": ""It"", ""B"": ""He"", ""C"": ""They"", ""D"": ""She""}","""D""","She' refers to the grandmother, one female person. 'It' is for things and 'they' is for more than one person."
WRITING,COHERENCE,BEGINNER,Read the paragraph: 'We packed our bags. We drove to the hills. We walked and took photos. ___' Which is the best LAST sentence?,"{""A"": ""My pen is missing."", ""B"": ""It was a wonderful trip."", ""C"": ""Potatoes grow underground."", ""D"": ""The shop was closed.""}","""B""","A good closing sentence sums up the story; 'It was a wonderful trip' wraps up the whole outing, while the others are off topic."
WRITING,COHERENCE,BEGINNER,"Choose the best word for the blank: 'Sara is only four, ___ she can already read.'","{""A"": ""so"", ""B"": ""because"", ""C"": ""but"", ""D"": ""or""}","""C""",But' shows a surprise or contrast: being very young and already reading. 'So' would wrongly make reading a result of being four.
WRITING,COHERENCE,BEGINNER,Read the paragraph: 'It rained all day. The streets were wet. People carried umbrellas. I love eating mangoes.' Which sentence does NOT belong?,"{""A"": ""I love eating mangoes."", ""B"": ""It rained all day."", ""C"": ""The streets were wet."", ""D"": ""People carried umbrellas.""}","""A""",The paragraph describes a rainy day; the sentence about mangoes has nothing to do with the rain.
WRITING,COHERENCE,BEGINNER,"Choose the best word for the blank: 'Ana likes drawing, ___ her brother does too.'","{""A"": ""but"", ""B"": ""or"", ""C"": ""because"", ""D"": ""and""}","""D""",And' joins two similar ideas: both Ana and her brother like drawing. 'But' would wrongly suggest the brother does not.
WRITING,COHERENCE,BEGINNER,Put these sentences in the best order: 1. She put the letter in an envelope. 2. Mina wrote a letter to her friend. 3. Then she posted it. Which order makes a good story?,"{""A"": ""1, 2, 3"", ""B"": ""2, 1, 3"", ""C"": ""3, 2, 1"", ""D"": ""2, 3, 1""}","""B""","First the letter is written (2), then put in an envelope (1), and posted last (3). You cannot post a letter before writing it."
WRITING,COHERENCE,BEGINNER,Read the sentence: 'The lights went out during dinner.' Which sentence best comes next?,"{""A"": ""Dad lit a candle."", ""B"": ""Apples are healthy."", ""C"": ""The sea is salty."", ""D"": ""My bag is heavy.""}","""A""",Lighting a candle is a natural response to the lights going out; the other sentences do not follow from the situation.
WRITING,COHERENCE,BEGINNER,Choose the best word for the blank: 'Close the window ___ it rains.',"{""A"": ""or"", ""B"": ""and"", ""C"": ""when"", ""D"": ""so""}","""C""",When' links the action to the time it should happen: at the time of rain. 'Or' and 'and' do not show time.
WRITING,COHERENCE,BEGINNER,Choose the best word for the blank: 'The children found a small bird. They gave ___ some water.',"{""A"": ""him"", ""B"": ""it"", ""C"": ""them"", ""D"": ""her""}","""B""","It' refers back to the bird, an animal. 'Them' would wrongly suggest more than one bird."
WRITING,COHERENCE,BEGINNER,"Read the paragraph: '___. First, we mix flour and eggs. Then we cook it in a pan. We eat it with honey.' Which is the best FIRST sentence?","{""A"": ""I lost my keys yesterday."", ""B"": ""The zoo has many animals."", ""C"": ""My uncle drives a taxi."", ""D"": ""This is how we make pancakes.""}","""D""","The paragraph gives cooking steps, so the opening sentence should introduce what is being made. The other options do not match the steps."
WRITING,COHERENCE,BEGINNER,"Choose the best word for the blank: 'Hurry up, ___ we will miss the train!'","{""A"": ""or"", ""B"": ""because"", ""C"": ""and"", ""D"": ""but""}","""A""",Or' warns what will happen if you do not hurry: missing the train. 'And' would not show this warning.
