skill,sub_skill,level,prompt_text,options,correct_answer,explanation
WRITING,GRAMMAR,BEGINNER,"In the sentence 'She ___ to school every day', which word fits the blank?","{""A"": ""go"", ""B"": ""goes"", ""C"": ""going"", ""D"": ""gone""}","""B""","With a third-person singular subject like 'she' in the present simple, the verb takes -s, so 'goes' is correct. 'Go' is only used with I/you/we/they."
WRITING,GRAMMAR,BEGINNER,Which article completes the sentence: 'I saw ___ elephant at the zoo.'?,"{""A"": ""a"", ""B"": ""the"", ""C"": ""an"", ""D"": ""no article""}","""C""","Elephant' begins with a vowel sound, so it takes 'an'. 'A' is tempting but is only used before consonant sounds."
WRITING,GRAMMAR,BEGINNER,"Choose the correct past form: 'Yesterday, they ___ football in the park.'","{""A"": ""played"", ""B"": ""play"", ""C"": ""plays"", ""D"": ""playing""}","""A""","Yesterday' signals the past simple, and the regular past of 'play' is 'played'. 'Play' and 'plays' are present forms, and 'playing' needs a helping verb."
WRITING,GRAMMAR,BEGINNER,What is the correct plural of 'child'?,"{""A"": ""childs"", ""B"": ""childes"", ""C"": ""childrens"", ""D"": ""children""}","""D""",Child' has the irregular plural 'children'; it does not follow the normal -s rule. 'Childrens' wrongly adds -s to a word that is already plural.
WRITING,GRAMMAR,BEGINNER,Which preposition completes the sentence: 'The book is ___ the table.'?,"{""A"": ""in"", ""B"": ""on"", ""C"": ""at"", ""D"": ""under the top of""}","""B""","We use 'on' for something resting on a surface. 'In' would mean inside the table, and 'at' is used for points or places, not surfaces."
WRITING,GRAMMAR,BEGINNER,Complete the sentence: 'This is my sister. ___ name is Anna.',"{""A"": ""She"", ""B"": ""Hers"", ""C"": ""Her"", ""D"": ""His""}","""C""",Before a noun like 'name' we need the possessive adjective 'her'. 'She' is a subject pronoun and 'hers' stands alone without a noun.
WRITING,GRAMMAR,BEGINNER,Choose the correct comparative: 'This bag is ___ than that one.',"{""A"": ""heavier"", ""B"": ""more heavy"", ""C"": ""heaviest"", ""D"": ""heavy""}","""A""","Short adjectives ending in -y form the comparative with -ier, so 'heavier' is correct. 'Heaviest' is the superlative and needs 'the', not 'than'."
WRITING,GRAMMAR,BEGINNER,Which word completes the sentence: 'There ___ many students in the class.'?,"{""A"": ""is"", ""B"": ""be"", ""C"": ""was"", ""D"": ""are""}","""D""","Many students' is plural, so it needs the plural verb 'are'. 'Is' is the common mistake because 'there' feels singular, but the real subject is 'students'."
WRITING,GRAMMAR,BEGINNER,Complete the sentence: 'Look! The baby ___ now.',"{""A"": ""sleeps"", ""B"": ""sleep"", ""C"": ""is sleeping"", ""D"": ""slept""}","""C""","Look!' and 'now' show the action is happening at this moment, so the present continuous 'is sleeping' is needed. 'Sleeps' describes a habit, not what is happening right now."
WRITING,GRAMMAR,BEGINNER,Choose the correct negative form: 'He ___ like coffee.',"{""A"": ""doesn't"", ""B"": ""don't"", ""C"": ""isn't"", ""D"": ""not""}","""A""","With 'he' in the present simple, the negative helper is 'doesn't'. 'Don't' is the frequent error but it belongs with I/you/we/they."
